Day,Date,Q,Count,Fngs,Pax,Notes,Month,Year
Tuesday,7/6/2021,Slice,7,,"Slice, Freighter, Grout, Retina, Arson, Tater, Daft",,7,2021
Thursday,7/8/2021,Lilo,8,,"Lilo, Freighter, Grout, Markymark (DR), Slice, Paneer, Tater, Sriracha",,7,2021
Saturday,7/10/2021,"Markymark (DR), LOL (DR)",19,2,"Markymark (DR), LOL (DR), Grout, Retina, Arson, Tater, Daft, Punk, Bandsaw, Repo, Big Sky, Trauma, Blade, Tweeter, Filter, Mantle, Lilo, Huckleberry, Slice","Gold Rush DR CoQ, Tweeter FNG, Filter FNG!",7,2021
Tuesday,7/13/2021,Tater,13,1,"Freighter, Huckleberry, Mantle, Arson, Grout, Canuck, Slice, Metamucil, Tater, Retina, Slater, Shameless, Depends (DR)","FNG Shameless; Depends (DR-GR), Metamucil 1st Post",7,2021
Thursday,7/15/2021,Grout,13,,"Grout, Paneer, Arson, Canuck, Lilo, Hombre (DR), Sriracha, Hollywood (DR), Slice, Mantle, Freighter, Flea Fly, Tater",2 DRs! F3Cherokee 74,7,2021
Saturday,7/17/2021,Huckleberry,13,,"Huckleberry, Paneer, Canuck, Lilo, Sriracha, Slice, Freighter, Grout, Repo, Doughboy, Blade, Slater, Bumpher",,7,2021
Tuesday,7/20/2021,Slice,11,,"Slice, Grout, Retina, Tater, Daft, Punk, Lilo, Huckleberry, Metamucil, Canuck, Freighter",,7,2021
Thursday,7/22/2021,Paneer,15,1,"Paneer, Freighter, Slice, Mantle, Tater, Shameless, Sriracha, BumpHer, Metamucil, Grout, Lilo, Canuck, Huckleberry, Retina, Earhart",Earhart FNG!!!!,7,2021
Saturday,7/24/2021,Retina,20,2,"Retina, Trauma, Paneer, Grout, Daft, Freighter, Fireball, Blade, Shameless, Huckleberry, Tater, Carnival, Gopher, Alien, Flea Fly, Halitosis, Canuck, BumpHer, Doughboy, Kenny G",Largest Pax Ever!!! 2 FNGs!!!! Carnival and Fireball FNGs,7,2021
Tuesday,7/27/2021,Retina,7,,"Retina, Freighter, Grout, Huckleberry, BumpHer, Daft, Carnival",,7,2021
Thursday,7/29/2021,Lilo,13,2,"Lilo, Freighter, Paneer, Mantle, Trauma, Huckleberry, Flea Fly, Slater, Carnival, Canuck, Hubble, Tinkle, Beach Bum (DR)",2 FNGs! Hubble and Tinkle,7,2021
Saturday,7/31/2021,Huckleberry,11,1,"Huckleberry, Carnival, Fireball, Gopher, Retina, Samwise, Lilo, Repo, Paneer, Freighter",FNG Samwise!!!,7,2021
Tuesday,8/3/2021,Slice,5,,"Slice, Grout, Huckleberry, BumpHer, PrinceSS",,8,2021
Thursday,8/5/2021,"Flea Fly, Tater",14,,"Flea Fly, Tater, Canuck, Sriracha, Slice, Retina, Huckleberry, Paneer, PrinceSS, Red Elephant (DR), Grout, Gopher, BumpHer, Mantle",,8,2021
Saturday,8/7/2021,Blade,19,2,"Blade, BumpHer, Samwise, Slice, PrinceSS, Canuck, Flea Fly, Chunks, Red Elephant, Longhorn, Tater, Paneer, Halitosis, Repo, Mantle, Filter, Fireball, Sockeye, Road Rash",Blade VQ! 2 FNGs! (Sockeye and Road Rash),8,2021
Tuesday,8/10/2021,BumpHer,10,,"BumpHer, Slice, Tater, Huckleberry, Lilo, Freighter, Carnival, Canuck, Repo, PrinceSS",BumpHer VQ!,8,2021
Thursday,8/12/2021,"PrinceSS, Paneer",13,1,"PrinceSS, Paneer, Mantle, Metamucil, Canuck, Pigeon, Huckleberry, Repo, Gandhi, Tater, Carnival, Grout, Freighter",FNG Pigeon!,8,2021
Saturday,8/14/2021,Slice,5,,"Slice, Trauma, Gopher, Filter, Carnival",Arron Butler Event Day,8,2021
Tuesday,8/17/2021,Arson,10,,"Arson, Carnival, Freighter, Huckleberry, Lilo, Mantle, Metamucil, PrinceSS, Slice, Tater",Tater's 100th F3 Boise Post,8,2021
Thursday,8/19/2021,Flea Fly,8,,"Flea Fly, Huckleberry, PrinceSS, Retina, Freighter, Tater, Repo, Carnival",,8,2021
Saturday,8/21/2021,PrinceSS ,21,6,"PrinceSS, Blade, Samwise, BumpHer, Kenny G, Slice, Tater, Peloton, Picasso, Sun Devil, Lemon (DR), Judge, Squid, Lilo, Canuck, Geico, Carnival, Huckleberry, Old Spice, Big Sky, Halitosis","6 FNGs!!! Picasso, Sun Devil, Judge, Squid, Geico, Old Spice, New Record turnout!!!",8,2021
Tuesday,8/24/2021,BumpHer,15,,"BumpHer, Freighter, Huckleberry, PrinceSS, Tater, Samwise, Metamucil, Slice, Grout, Canuck, Squid, Trauma, Carnival, Retina, Old Spice",BumpHer BQ!!,8,2021
Thursday,8/26/2021,Retina,17,,"Retina, Slice, Paneer, PrinceSS, Huckleberry, Tater, Spud, Metamucil, BumpHer, Grout, Carnival, Squid, Canuck, Sun Devil, Repo, Trauma, Shameless",New Weekday Record Turnout!!,8,2021
Saturday,8/28/2021,Lilo,21,3,"Lilo, Huckleberry, Tater, PrinceSS, Paneer, Samwise, Geico, Flea Fly, Carnival, Canuck, Squid, Longhorn, Grout, Gopher, Blade, Sriracha, Chunks, Halitosis, Beans, Slug bug, Sideline","3 FNGs! Beans, Slug bug, Sideline",8,2021
Tuesday,8/31/2021,PrinceSS,11,,"PrinceSS, Carnival, Tater, Freighter, Metamucil, Scum Devil, Spud, Slice, Trauma, Squid, Canuck",,8,2021
Thursday,9/2/2021,"Metamucil, Freighter",13,,"Metamucil, Freighter, Slice, Tater, Carnival, Paneer, Spud, Scum Devil, Canuck, Squid, Trauma, PrinceSS, Old Spice",,9,2021
Saturday,9/4/2021,Freighter,19,1,"Freighter, Scat, PrinceSS, Carnival, Blade, Tater, Paneer, Lilo, Samwise, Retina, Canuck, BumpHer, Slug Bug, Squid, Beans, Fireball, Chunks, Geico, Huckleberry",FNG Scat,9,2021
Tuesday,9/7/2021,Huckleberry,10,,"Huckleberry, Tater, Old Spice, Samwise, PrinceSS, Trauma, Squid, Retina, Slug Bug, Carnival, Road Rash",,9,2021
Thursday,9/9/2021,BumpHer,7,,"BumpHer, Tater, Carnival, PrinceSS, Samwise, Slice, Huckleberry",,9,2021
