Thursday,4/1/2021,Freighter,8,1,"Freighter, Slice, Paneer, Mantle, Repo, Jack Hammer, Tater, Mijo",Start of the FNG Challenge! 1 FNG Mijo!,4,2021,,38,Ahi,Freighter,,Wax Off,1,,Old Spice,20,
Saturday,4/3/2021,Daft,15,2,"Daft, Punk, Tater, Freighter, Big Sky, Llama (DR), Longhorn, Mijo, Slice, Paneer, Repo, Huckleberry, Cricket, Arson, Bandsaw","Arson (FNG), Bandsaw (FNG)",4,2021,,39,Gandhi,F3 Seattle,,Doppler,1,,Red Elephant,22,
Tuesday,4/6/2021,Slice,9,,"Slice, Freighter, Tater, Paneeer, Jack Hammer, Mijo, Mantle, Repo, Arson",Freighter's 50th Post,4,2021,,40,Sriracha,Canuck,,Hooch,3,,Ramsay,21,
Thursday,4/8/2021,"Slice, Freighter, Paneer",7,,"Slice, Freighter, Paneer, Mantle, Repo, Arson, Mijo",3 Headed Monster Q,4,2021,,41,Slater,Canuck,,Wooderson,5,,Sand Trap,22,
Saturday,4/10/2021,Mantle,18,4,"Mantle, Repo, Arson, Freighter, Tater, Paneer, Slice, Longhorn, Maracas, Huckleberry, Bandsaw, Daft, Big Sky, Mijo, Runt, Hostage, Canuck, Flea Fly","Mantle VQ! 18 Pax! 4 FNGs! Runt (FNG) Hostage (FNG), Canuck (FNG), Flea Fly (FNG)",4,2021,,42,Pele,Freighter,,Gas Man,5,,Punk,19,
Tuesday,4/13/2021,Paneer,9,,"Paneer, Cycle Bar, Freighter, Slice, Mijo, Mantle, Arson, Repo, Maraca",,4,2021,,43,Shameless,Depends (GR),,Sand Trap,2,,Big Sky,16,
Thursday,4/15/2021,"Repo, Mantle",8,,"Repo, Mantle, Tater, Paneer, Maraca, Slice, Arson, Freighter",Repo/Mantle Co-Q!,4,2021,,44,Tweeter,Arson,,Fanny Pack,1,,Lawsuit,15,
Saturday,4/17/2021,Longhorn,12,2,"Longhorn, Tater, Bandsaw, Barbie, Kenny G, Slice, Freighter, Maracas, Mantle, Mijo, Paneer, Huckleberry","Longhorn VQ BQ! Barbie (FNG), Kenny G (FNG)",4,2021,,45,Filter,Arson,,Stitches,1,,Mijo,12,
Tuesday,4/20/2021,Slice,11,1,"Slice, Huckleberry, Maraca, Mantle, Tater, Repo, Paneer, Freighter, Mijo, Arson, Casper",Casper FNG!,4,2021,,46,Metamucil,88 (DR - Gold Rush),,Chubbs,1,,Cycle Bar,12,
Thursday,4/22/2021,Repo ,11,2,"Repo, Arson, Tater, Mantle, Slice, Paneer, Huckleberry, Freighter, Maraca, Paddle, Retina","Repo VQ + 2 FNGs! Paddle (FNG), Retina (FNG)",4,2021,,47,Earhart,Lilo,,,,,Maraca,11,
Saturday,4/24/2021,Tater,18,3,"Tater, Repo, Mijo, Barbie, Slice, Retina, Arson, Big Sky, Canuck, Bandsaw, Alien, Kenny G, Paneer, Daft, Freighter, Grout, Huckleberry, Peloton","3 FNGs! Alien, Grout, Peloton",4,2021,,48,Fireball,,,,,,Chubbs,20,
Tuesday,4/27/2021,Mantle,12,,"Tater, Grout, Longhorn, Slice, Retina, Huckleberry, Freighter, Mijo, Repo, Arson, Paneer",,4,2021,,49,Carnival,Blade,,,,,Sriracha,10,
Thursday,4/29/2021,Arson,12,1,"Arson, Big Sky, Freighter, Grout, Longhorn, Mantle, Mijo, Paneer, Repo, Slice, Tater, Trauma",Arson VQ! + FNG Trauma,4,2021,,50,Hubble,,,,,,Chunks,10,
Saturday,5/1/2021,Paneer,10,1,"Paneer, Huckleberry, Canuck, Grout, Slice, Punk, Daft, Mantle, Mijo, Gopher",Gopher FNG,5,2021,,51,Tinkle,,,,,,Scalp,11,
Tuesday,5/4/2021,Huckleberry,15,1,"Huckleberry, Tater, Trauma, Retina, Doughboy, Repo, Arson, Paneer, Slice, Freighter, Marca, Mantle, Grout, Longhorn, Canuck",FNG Doughboy! Huckleberry first F3 Boise Q,5,2021,,52,Samwise,Paneer,,,,,Hightower,9,
Thursday,5/6/2021,Repo,11,,"Repo, Grout, Trauma, Retina, Paneer, Freighter, Slice, Mantle, Huckleberry, Tater, Arson",,5,2021,,53,Goat,,,,,,Shameless,9,
Saturday,5/8/2021,Slice,17,2,"Slice, Freighter, Tater, Flea Fly, Huckleberry, Daft, Grout, Paneer, Barbie, Bandsaw, Retina, Sal, Gopher, Repo, Ahi, Arson, Canuck",2 FNGs! (Sal and Ahi),5,2021,,54,Sockeye,Canuck,,,,,Crunch,9,
Tuesday,5/11/2021,Freighter,11,,"Freighter, Slice, Tater, Huckleberry, Grout, Paneer, Retina, Arson, Repo, Mantle, Longhorn",,5,2021,,55,Road Rash,PrinceSS,,,,,Yankee,9,
Thursday,5/13/2021,Mantle,9,,"Mantle, Freighter, Paneer, Retina, Repo, Grout, Huckleberry, Tater, Slice",,5,2021,,56,Pigeon,,,,,,Classified,8,
Saturday,5/15/2021,Tater,11,1,"Tater, Freighter, Slice, Paneer, Alien, Gopher, Daft, Punk, Huckleberry, Red Elephant (DR), Gronk","SolekIDs Event BD, Gronk FNG",5,2021,,57,Picasso,,,,,,Kenny G,7,
Tuesday,5/18/2021,Tater,6,,"Tater, Slice, Freighter, Grout, Mantle, Huckleberry",Hold Breath BD,5,2021,,58,Sun Devil ,PrinceSS,,,,,Gandhi,7,
Thursday,5/20/2021,Mantle,7,,"Mantle, Slice, Freighter, Huckleberry, Paneer, Repo, Tater",,5,2021,,59,Judge (R),Lemon (DR),,,,,Gavel,7,
Saturday,5/22/2021,"Freighter, Paneer",8,,"Freighter, Paneer, Tater, Arson, Mantle, Canuck, Kenny G, Daft",First Rain BD,5,2021,,60,Squid,Canuck,,,,,Norsk,7,
Tuesday,5/25/2021,Huckleberry,4,,"Huckleberry, Freighter, Arson, Tater",,5,2021,,61,Geico,Canuck,,,,,Ragged T'Ann,6,
Thursday,5/27/2021,Tater,10,,"Tater, Alien, Retina, Huckleberry, Slice, Grout, Paneer, Freighter, Arson, Repo",SFC Will Lindsay Tribute Day 1,5,2021,,62,Old Spice,Canuck,,,,,Norsk,7,
Saturday,5/29/2021,Freighter,10,1,"Freighter, Slice, Paneer, Arson, Tater, Daft, Punk, Kenny G, Canuck, Gandhi",Gandhi FNG!,5,2021,,63,Beans,,,,,,Puck,6,
Tuesday,6/1/2021,Daft,9,,"Daft, Slice, Huckleberry, Tater, Cycle Bar, Arson, Alien, Repo, Freighter",,6,2021,,64,Slug Bug,Canuck,,,,,Bandsaw,6,
Thursday,6/3/2021,Slice,13,,"Slice, Freighter, Paneer, Grout, Retina, Arson, Cycle Bar, Gandhi, Longhorn, Trauma, Tater, Mantle, Huckleberry",Freighter 100th Post!!!,6,2021,,65,Sideline,,,,,,Spud,6,
Saturday,6/5/2021,"Tater, Paneer",13,,"Tater, Paneer, Gandhi, Freighter, Lilo, Slice, Repo, Mantle, Arson, Retina, Longhorn, Canuck, Couch Potato",Lilo's back! Couch Potato's first F3 Boise post,6,2021,,66,Flash,Scrappy,,,,,Fireball,5,
Tuesday,6/8/2021,Mantle,7,,"Mantle, Freighter, Slice, Arson, Grout, Canuck, Tater",,6,2021,,67,Zit,Blade,,,,,Alien,5,
Thursday,6/10/2021,Huckleberry,9,,"Huckleberry, Retina, Slice, Grout, Paneer, Tater, Gopher, Freighter, Lilo",RAINY RUN,6,2021,,68,Joanna,,,,,,Royce,5,
Saturday,6/12/2021,Canuck,11,,"Canuck, Arson, Grout, Paneer, Kenny G, Tater, Flea Fly, Couch Potato, Huckleberry, Retina, Freighter",Canuck VQ!!! Slice 100th Post,6,2021,,69,Gas Man,,,,,,Bullseye,5,
Tuesday,6/15/2021,Retina,10,,"Retina, Mantle, Arson, Canuck, Slice, Repo, Huckleberry, Grout, Flea Fly, Tater",Climbing Rope Q,6,2021,,70,Doppler,Huckleberry,,,,,Scrappy,5,
Thursday,6/17/2021,Canuck,8,,"Canuck, Tater, Slice, Cycle Bar, Mantle, Gandhi, Paneer, Grout",,6,2021,,71,Tbone,Watts,,,,,Rabbit,5,
Saturday,6/19/2021,Slice,12,3,"Slice, Lilo, Gandhi, Grout, Sriracha, Canuck, Freighter, Pele, Slater, Paneer, Cycle Bar, Paneer","3 FNGs!!!! Sriracha, Pele, Slater",6,2021,,72,Westside,Tater,,,,,Quid,5,
Tuesday,6/22/2021,Retina,7,,"Retina, Canuck, Daft, Punk, Freighter, Sriracha, Grout",,6,2021,,73,Ditch Witch,Lilo,,,,,Yardstick,11,
Thursday,6/24/2021,Lilo,11,,"Lilo, Tater, Paneer, Sriracha, Retina, Repo, Grout, Slice, Freighter, Gandhi, Canuck",,6,2021,,74,Murse,Big Sky,,,,,Bacon,6,
Saturday,6/26/2021,Grout,16,,"Grout, Paneer, Sriracha, Retina, Slice, Freighter, Canuck, Daft, Punk, Mantle, Red Elephant, Big Sky, Lilo, Trauma, Gopher, Flea Fly",Grout VQ! ,6,2021,,75,Flatbed,,,,,,EPA,5,
Tuesday,6/29/2021,Daft,10,,"Daft, Punk, Slice, Huckleberry, Tater, Red Elephant, Arson, Gopher, Retina, Freighter",,6,2021,,76,Gadget,,,,,,Slater,4,
Thursday,7/1/2021,Paneer,5,,"Paneer, Freighter, Slice, Lilo, Arson",,7,2021,,77,Ragged T'Ann,,,,,,Slug Bug,4,
Saturday,7/3/2021,Freighter,11,1,"Freighter, Slice, Tater, Paneer, Repo, Arson, Canuck, Lilo, Big Sky, Kingpin (DR), Goat (FNG)",FNG Goat!,7,2021,,78,Revere,Huckleberry,,,,,Laettner,4,
Tuesday,7/6/2021,Slice,7,,"Slice, Freighter, Grout, Retina, Arson, Tater, Daft",,7,2021,,79,Stinger,Canuck,,,,,Cochran,3,
Thursday,7/8/2021,Lilo,8,,"Lilo, Freighter, Grout, Markymark (DR), Slice, Paneer, Tater, Sriracha",,7,2021,,80,Classified,High Tower,,,,,Cricket,3,
Saturday,7/10/2021,"Markymark (DR), LOL (DR)",19,2,"Markymark (DR), LOL (DR), Grout, Retina, Arson, Tater, Daft, Punk, Bandsaw, Repo, Big Sky, Trauma, Blade, Tweeter, Filter, Mantle, Lilo, Huckleberry, Slice","Gold Rush DR CoQ, Tweeter FNG, Filter FNG!",7,2021,,81,Cheapskate,,,,,,Doughboy,3,
Tuesday,7/13/2021,Tater,13,1,"Freighter, Huckleberry, Mantle, Arson, Grout, Canuck, Slice, Metamucil, Tater, Retina, Slater, Shameless, Depends (DR)","FNG Shameless; Depends (DR-GR), Metamucil 1st Post",7,2021,,82,Lawsuit,,,,,,Picabo,3,
Thursday,7/15/2021,Grout,13,,"Grout, Paneer, Arson, Canuck, Lilo, Hombre (DR), Sriracha, Hollywood (DR), Slice, Mantle, Freighter, Flea Fly, Tater",2 DRs! F3Cherokee 74,7,2021,,83,Yankee,,,,,,Geico,3,
Saturday,7/17/2021,Huckleberry,13,,"Huckleberry, Paneer, Canuck, Lilo, Sriracha, Slice, Freighter, Grout, Repo, Doughboy, Blade, Slater, Bumpher",,7,2021,,84,Scrooge,,,,,,Filter,3,
Tuesday,7/20/2021,Slice,11,,"Slice, Grout, Retina, Tater, Daft, Punk, Lilo, Huckleberry, Metamucil, Canuck, Freighter",,7,2021,,85,Silo,,,,,,Barbie,3,
Thursday,7/22/2021,Paneer,15,1,"Paneer, Freighter, Slice, Mantle, Tater, Shameless, Sriracha, BumpHer, Metamucil, Grout, Lilo, Canuck, Huckleberry, Retina, Earhart",Earhart FNG!!!!,7,2021,,86,Bruin,,,,,,Tbone,4,
Saturday,7/24/2021,Retina,20,2,"Retina, Trauma, Paneer, Grout, Daft, Freighter, Fireball, Blade, Shameless, Huckleberry, Tater, Carnival, Gopher, Alien, Flea Fly, Halitosis, Canuck, BumpHer, Doughboy, Kenny G",Largest Pax Ever!!! 2 FNGs!!!! Carnival and Fireball FNGs,7,2021,,87,Wizard,,,,,,Jack Hammer,3,
Tuesday,7/27/2021,Retina,7,,"Retina, Freighter, Grout, Huckleberry, BumpHer, Daft, Carnival",,7,2021,,88,Bruno,Flea Fly,,,,,Revere,4,
Thursday,7/29/2021,Lilo,13,2,"Lilo, Freighter, Paneer, Mantle, Trauma, Huckleberry, Flea Fly, Slater, Carnival, Canuck, Hubble, Tinkle, Beach Bum (DR)",2 FNGs! Hubble and Tinkle,7,2021,,89,Harry,,,,,,Kingpin (DR),2,
Saturday,7/31/2021,Huckleberry,11,1,"Huckleberry, Carnival, Fireball, Gopher, Retina, Samwise, Lilo, Repo, Paneer, Freighter",FNG Samwise!!!,7,2021,,90,Smelt,,,,,,Couch Potato,2,
Tuesday,8/3/2021,Slice,5,,"Slice, Grout, Huckleberry, BumpHer, PrinceSS",,8,2021,,91,Gumby,,,,,,Llama (DR),2,
Thursday,8/5/2021,"Flea Fly, Tater",14,,"Flea Fly, Tater, Canuck, Sriracha, Slice, Retina, Huckleberry, Paneer, PrinceSS, Red Elephant (DR), Grout, Gopher, BumpHer, Mantle",,8,2021,,92,Chas,Blade,,,,,Pastel,2,
Saturday,8/7/2021,Blade,19,2,"Blade, BumpHer, Samwise, Slice, PrinceSS, Canuck, Flea Fly, Chunks, Red Elephant, Longhorn, Tater, Paneer, Halitosis, Repo, Mantle, Filter, Fireball, Sockeye, Road Rash",Blade VQ! 2 FNGs! (Sockeye and Road Rash),8,2021,,93,Bacon,,,,,,Peloton,2,
Tuesday,8/10/2021,BumpHer,10,,"BumpHer, Slice, Tater, Huckleberry, Lilo, Freighter, Carnival, Canuck, Repo, PrinceSS",BumpHer VQ!,8,2021,,94,Chubby,Zit,,,,,Hollywood (DR),2,
Thursday,8/12/2021,"PrinceSS, Paneer",13,1,"PrinceSS, Paneer, Mantle, Metamucil, Canuck, Pigeon, Huckleberry, Repo, Gandhi, Tater, Carnival, Grout, Freighter",FNG Pigeon!,8,2021,,95,Tacklebox,Halitosis,,,,,Road Rash,2,
Saturday,8/14/2021,Slice,5,,"Slice, Trauma, Gopher, Filter, Carnival",Arron Butler Event Day,8,2021,,96,Clooney,Retina,,,,,Beans,2,
