Day,Date,Q,Count,Fngs,Pax,Notes,Month,Year
Wednesday,4/28/2021,"Slice, Freighter",6,,"Slice, Freighter, Retina, Arson, Grout, Big Sky",,4,2021
Monday,5/3/2021,"Slice, Mijo",11,1,"Slice, Mijo, Freighter, Paneer, Arson, Grout, Big Sky, Retina, Trauma, Daft, Scalp (FNG)",Mijo Co-Q! Scalp FNG!,5,2021
Wednesday,5/5/2021,Arson,8,,"Arson, Big Sky, Doughboy, Freighter, Grout, Longhorn, Slice, Trauma",,5,2021
Monday,5/10/2021,Arson,11,,"Arson, Ahi, Big Sky, Cycle Bar, Doughboy, Freighter, Grout, Longhorn, Paneer, Retina, Slice",,5,2021
Wednesday,5/12/2021,Longhorn,10,,"Longhorn, Cycle Bar, Slice, Freighter, Grout, Arson, Retina, Scalp, Big Sky, Trauma",Musical Medley,5,2021
Monday,5/17/2021,Freighter,9,,"Freighter, Slice, Grout, Retina, Longhorn, Big Sky, Cycle Bar, Ahi, Trauma",,5,2021
Wednesday,5/19/2021,Slice,7,,"Slice, Freighter, Longhorn, Paneer, Grout, Gopher, Retina",,5,2021
Monday,5/24/2021,Freighter,7,,"Freighter, Longhorn, Retina, Arson, Trauma, Alien, Scalp",,5,2021
Wednesday,5/26/2021,Arson,6,,"Arson, Freighter, Paneer, Slice, Longhorn, Scalp",,5,2021
Monday,5/31/2021,Retina,9,,"Retina, Arson, Slice, Daft, Longhorn, Kenny G, Cycle Bar, Paneer, Freighter",Retina VQ!!!! Day 5,5,2021
Wednesday,6/2/2021,Longhorn,7,,"Longhorn, Arson, Slice, Freighter, Cycle Bar, Paneer, Retina",,6,2021
Monday,6/7/2021,Arson,5,,"Arson, Freighter, Grout, Longhorn, Slice",,6,2021
Wednesday,6/9/2021,Freighter,9,,"Freighter, Slice, Arson, Grout, Canuck, Paneer, Big Sky, Alien, Daft",,6,2021
Monday,6/14/2021,"Arson, Grout",9,,"Arson, Grout, Daft, Punk, Canuck, Retina, Longhorn, Slice, Cycle Bar",Grout CoQ!!,6,2021
Wednesday,6/16/2021,Longhorn,6,,"Longhorn, Slice, Paneer, Grout, Big Sky, Arson",,6,2021
Monday,6/21/2021,"Freighter, Slice",6,,"Freighter, Slice, Grout, Canuck, Longhorn, Cycle Bar",,6,2021
Wednesday,6/23/2021,Longhorn,4,,"Longhorn, Grout, Freighter, Trauma",,6,2021
Monday,6/28/2021,Slice,7,,"Slice, Grout, Canuck, Freighter, Red Elephant, Arson, Harry Caray (FNG)",Harry Caray FNG!!! (DR),6,2021
Wednesday,6/30/2021,Arson,10,1,"Arson, Daft, Punk (H), Freighter, Paneer, Retina, Slice, Scalp, Sleeper (FNG), Red Elephant",Sleeper FNG!,6,2021
Monday,7/5/2021,Paneer,3,,"Paneer, Scalp, Blade (FNG)",Blade FNG!!! (1st BD missed by Freighter),7,2021
Wednesday,7/7/2021,Arson,9,1,"Arson, Freighter, Longhorn, Paneer, Retina, Slice, Scalp, Blade, Tokyo (FNG)",Tokyo FNG,7,2021
Monday,7/12/2021,Daft,7,,"Daft, Freighter, Slice, Arson, Blade, Grout, Punk (H) ",,7,2021
Wednesday,7/14/2021,Tater,15,,"Doughboy, Metamucil, Longhorn, Huckleberry, Slice, Paneer, Freighter, Arson, Mantle, Grout, Shameless, Blade, Canuck, Depends, Tater",Depends (DR - GR),7,2021
Monday,7/19/2021,Arson,13,2,"Arson, Blade, Canuck, Cycle Bar, Doughboy, Freighter, Grout, Longhorn, Metamucil, Slater, Slice, Halitosis (FNG), Goose (FNG) (DR)","Halitosis FNG, Goose FNG (DR)",7,2021
Wednesday,7/21/2021,Freighter,13,1,"Freighter, Paneer, Slice, Retina, Arson, Canuck, Flea Fly, Blade, Metamucil, Shameless, Scalp, Longhorn, Chunks (FNG)",Paneer 100th POST!!! Chunks FNG,7,2021
Monday,7/26/2021,Freighter,16,2,"Freighter, Canuck, Flea Fly, Blade, Metamucil, Shameless, Longhorn, Grout, Doughboy, Carnival, Daft, Chunks, Halitosis, Stumble (FNG), Duff (FNG)","Bigges Monday, 2 FNGs!!!",7,2021
Wednesday,7/28/2021,Paneer,13,,"Paneer, Freighter, Duff, Stumble, Halitosis, Retina, Slater, Chunks, Carnival, Blade, Metamucil, Scalp, BumpHer",,7,2021
Monday,8/2/2021,Retina,6,,"Retina, Halitosis, Freighter, Blade, Grout, Princess",FNG Princess,8,2021
Wednesday,8/4/2021,"Blade, Slice (CoQ)",10,,"Blade, Slice, Princess, Longhorn, BumpHer, Halitosis, Canuck, Retina, Chunks, Paneer",,8,2021
Monday,8/9/2021,Canuck,11,1,"Canuck, Scalp, PrinceSS, Freighter, Blade, Road Rash, Big Sky, Halitosis, Carnival, Slice, Splinter (FNG)",Splinter FNG!,8,2021
Wednesday,8/11/2021,Flea Fly,13,,"Flea Fly, Canuck, Slice, Paneer, PrinceSS, BumpHer, Metamucil, Scalp, Carnival, Freighter, Blade, Halitosis, Chunks",,8,2021
Monday,8/16/2021,Slice,7,,"Slice, Trauma, Carnival, Freighter, Grout, Big Sky, Arson, Retina",,8,2021
Wednesday,8/18/2021,Freighter,6,,"Freighter, Slice, Carnival, Scalp, Blade, PrinceSS",,8,2021
Monday,8/23/2021,Retina,14,1,"Retina, Flea Fly, Slice, Freighter, Blade, Sriracha, Trauma, Carnival, Longhorn, Runny Gunny (FNG), Halitosis, PrinceSS, Squid, Canuck",Gunny FNG! (Runny Gunny),8,2021
Wednesday,8/25/2021,"Big Sky, Slice",12,,"Big Sky, Slice, Freighter, Paneer, Carnival, Canuck, Chunks, Geico, Longhorn, Blade, Splinter, Trauma",,8,2021
Monday,8/30/2021,"Carnival, Slice",10,,"Carnival, Slice, Runny Gunny, Blade, Retina, Canuck, Halitosis, Geico, PrinceSS, Longhorn",,8,2021
Wednesday,9/1/2021,"Halitosis, Slice",10,1,"Halitosis, Slice, Freighter, Paneer, Carnival, Slug Bug, Boogeyman (FNG), PrinceSS, Blade, Retina",FNG Boogyman,9,2021
Monday,9/6/2021,Big Sky ,10,,"Big Sky, Halitosis, Paneer, Samwise, Blade, Trauma, BumpHer, Carnival, Boogeyman, Scalp",Big Sky VQ!,9,2021
Wednesday,9/8/2021,Captain Hook (DR),11,,"Captain Hook (DR), Boogeyman, Blade, Halitosis, Doughboy, Slug Bug, Carnival, Grout, Paneer, PrinceSS, Slice",Captain Hook DR Q!,9,2021
Monday,9/13/2021,Carnival (VQ),10,,"Carnival, Flea Fly, Slice, Rocketman (FNG), Halitosis, Cycle Bar, Doppler, Chunks, BumpHer, Slug Bug, Blade",Carnival VQ! FNG Rocketman,9,2021
Wednesday,9/15/2021,Blade ,7,,"Blade, Slice, Carnival, Rocketman, Scalp, Cycle bar, PrinceSS",,9,2021
Monday,9/20/2021,Blade,11,,"Blade, Slice, Carnival, Rocketman, Boogeyman, PrinceSS, Halitosis, Slug Bug, Doppler, Arson, Cycle Bar",,9,2021
Wednesday,9/22/2021,Trauma,12,,"Trauma, Slice, Blade, Arson, Paneer, Halitosis, Rocketman, PrinceSS, Carnival, Freighter, Doughboy, Cycle Bar",Trauma VQ!,9,2021
Monday,9/27/2021,Carnival,11,,"Carnival, Big Sky, PrinceSS, Trauma, Slice, Boogeyman, Blade, Freighter, Squid, Cycle Bar, Rocketman",,9,2021
Wednesday,9/29/2021,"Cycle Bar, Carnival",8,,"Cycle Bar, Carnival, Freighter, Paneer, PrinceSS, Halitosis, Boogeyman, Rocketman",Cycle Bar CoQ,9,2021
Monday,10/4/2021,Freighter,11,,"Freighter, Slice, Boogeyman, Blade, Squid, PrinceSS, Carnival, Halitosis, Rocketman, Spud, Red Elephant",,10,2021
