ao,q,pax,fngs,date,title,moleskine,bb_type
gem,kremlin,"gas man,kremlin,sheets,yardstick",,2023-09-07,"We ran, played pickleball and pushed a truck around the parking lot","*WARMUP:*
Side straddle hop IC X 10
Michael Phelps IC X 10
Asphalt grabbers IC X 10
Quad stretch 10 count
Flapjack
Toe touch 10 count

*THE THANG:*
Mozy around the park with a sandbag
Mozy 400 meters
Merkins X 20
Mozy 400 meters
Diamond merkins X 20
Mozy 400 meters
Knockout merkins X 20
Mozy to pockleball courts

Pickleball in the dark (I should have brought out my lantern) 2 on 1.
We rotated as soon as the 1 Pax lost a serve or if they earned three points.
The 4th Pax rotated out with exercises as follows:
20 sandbag squats
20 sandbag curls
20 sandbag lunges 
20 merkins

@gasman and @sheets had some good pickleball streaks

Mozy to parking lot

Finished with toyota tacoma push through the parking lot. Each Pax took one stretch behind the wheel.

*MARY:*
Nope

*ANNOUNCEMENTS:*
Grow ruck
Lasagna night 
IPC
September 11th run
Training at the end of the month

*COT:*

Thanks all for coming out this morning! And thank you for letting me try a few new things as part of the beatdown.
",backblast
tower,strings,"doppler,face plant,strings",,2023-09-07,Oh…SWEOT DOCK!,"*WARMUP:*
5mm, 10 burpees, 1 min horse stance

*THE THANG:*
Sweat deck with 1x blockee after each card: front-loaded squat, RDL w/calf raise, Mt Climbers, bent over row. Jokers (20x HRM, 50 coupon swings)

*MARY:* 10x Freddy Mercury, 10x  plank twists, 10x rope climbers, 10x American hammers, 10x shoulder taps, 10x BBS

*ANNOUNCEMENTS:*
9/11 Run; GTE; lasagna dinner 23sept, Leadership summit 30sept; 10,000 swings in October

*COT:*
Patience and steadiness with spouse and kids; praise for closeness and progress with kids in school; praise for seeing blessings in life through struggle",backblast
bellagio,samwise,"bigmac,chewbacca (dr from kentucky),focker,rocketman,samwise,squid",,2023-09-07,Someone had to carry the boats,"*WARMUP:*
*THE THANG:*
1, 2, 3s - 1 pullup, 2 merkins, 3 squats - increase to 2,4,6 and 3,6,9 and then back down
Sandbag shuffle - one PAX slick in the back of the line, the rest with sandbag or double couple farmer carry. PAX in front drops his weight, the line keeps moving and he goes to the back of the line. Man in back picks up weight.
4 man table carry with SB weight while 2 other PAX follow with SBs rotating in
Repeat sandbag shuffle up and over the hill
Hill work - running forward or backward up the hill and doing burpees or merkins at the bottom and top
*MARY:*
*ANNOUNCEMENTS:*
GTE, Lasagna, Leadership summit
*COT:*",backblast
bellagio,samwise,"bigmac,samwise",,2023-09-07,Someone had to carry the logs,"Warmup lap with ruck and SB
*THE THANG:*
Rucks on, 2 man table carry around Bellagio. Stopped to do exercises intermittently.
Rucks on table, forward and backward table pushes until time.",doubledown
rebel,dutch,"buff,dutch,family guy,gopher,tater,tenor",,2023-09-07,GTE Prep!,"*WARMUP:* 
1 lap warmup


*THE THANG:* 
2 min merkins
2 min sit-ups
Pull-ups

2 mile timed run

Catch your friends:
Half PAX grab rucks/sandbags and start clockwise
Other half start running counter clockwise
Trade when you meet up 


*ANNOUNCEMENTS:*
Grow Ruck
Kettlebell Challenge
9/11 memorial run @ Ann Morrison
City of trees and other racing opportunities

*COT:*
Prayers for families experiencing loss and everyone traveling to, supporting, and/or competing in GTE",backblast
backyard,gopher,"cortana,doppler,face plant,foxworthy,gopher,tater",,2023-09-06,Run and Gun,"*WARMUP:*
SSH, Tin Soldier, Imperial walkers
*THE THANG:*
*Exercises completed until a pax decides it is time to run away from one station and run towards the new station. Various amounts of reps were performed until pax decided to move on

Station 1 - 
Kneeling curl to over head press
High Pull, shrugs
Curls - many variations
 --- Sprint 200 - 300 meters to next station 
Station 2 
Dead bugs
Heels to heaven
Posterior forearm holds
Flutter kicks

Station 3
Merkins, Derkins, Irkins, and more 
Hangs + Derkins
More Merkins

** The focus of the work out was that we were running away from one exercise (once we were nearing failure, but running towards something else). Between each station the following was read.

Often we:
Run away from conflict, when we should run towards understanding for the other person
Run away from fear, when we should run towards growth
Run away from addressing addiction, when we should run towards healing
Run away from bitterness, when we should run towards forgiveness
Run away from discipline, when we should run towards our values and commitment
Run away from hearing other peoples opinions or beliefs, when we should run towards being able to articulate our own beliefs 

*MARY:*
Done Throughout

*ANNOUNCEMENTS:*
1st F initiative - Coupon swing challenge
Leadership summit (F3 is a group of leaders, so all are open to attend) Sept 30th
Lasagna party - Sept 23rd

*COT:*
As we move from the BD where we sought to get ourselves right, we should run towards using the time in the gloom to improve our family and community

Prayers for Cortana neighborhood who has reoccurring cancer
Prayers for the men in the circle - may we not find ourselves alone on the field of battle when the fight comes to us",backblast
rise,husker,"barker,enhance,hawkeye,husker,kettle,mark sargent,sushi,timney,wafer",,2023-09-06,We did RISE to the Iron Pax Challenge - Week 1,"*WARMUP: None today
*THE THANG: Iron Pax Challenge Wk 1
Round 1
Exercises: Flying Squirrels / WW3 Sit‐ups
MOT during this round: Coupon Lunge Walk
Round 2
Exercises: Block‐Over Burpees / No‐Cheat Merkins
MOT during this round: Murder Bunny
Round 3
Exercises: Thrusters / Jillian Michaels
MOT during this round: Rifle Carry
*MARY: None today
*ANNOUNCEMENTS:* - GrowRuck and other physical challenges throughout the Treasure Valley
*COT:* - Personal needs -",backblast
bleach,hooch,"backslash,big wheel,guac,hillary,hooch,mai tai,prince,sheets,strings,zelda","big wheel,mai tai",2023-09-06,Leg Day with NFGs,"*WARMUP:*
Disclaimer Given, F3 Mission touched upon.
Conditions: 58 degrees and perfect for a BD.
-Ran the ""Car Wash"" lap
-SSH x20 IC
-Grassgrabbers x10 IC
-Waterfall Calf Stretch x10 IC
-Squated Hip Openers x7 IC
-1 Minute Free Stretch 

*THE THANG:*
All Movements done with variable weight; slick, Ruck, SB, or Ruck and SB.
-Squat medley x2: Narrow Squat x10 OMD, Squat x10 OMD, Sumo Squat x10 OMD
-No Surrender x21 IC
-Step Ups x20 IC
-Top Shelf(Squat with a Calf Raise at the top) x20 OMD
-Straight Leg Deadlift x11, 12 and 15 OMU

*MARY:*
-Ruck OH Flutterkicks x20 IC
-LBCs x20 IC
-Penguins (Heel taps) x20 IC
-American Hammers (led by Strings) x20 IC
-Supermans (Up on ""1"" hold until cadence complete) x20 IC
-Birddogs (led by Strings) x10 IC Left and Right completed as ""Flapjack""

*ANNOUNCEMENTS:*
-GROWRUCK NEXT WEEK. 
-Rocketman Lasagna Party: HC for family attendance and for help assembling lasagnas.
-Leadership Summit 9/30. Be prepared. 

*COT:*
Welcome FNGs! 
Many Prayers for injured PAX and preparation for GrowRuck. Finish strong men!

Thank you for the opportunity to lead this morning. I love you all, SYITG.",backblast
black-diamond,blade,"bigmac,blade,freighter,paneer,samwise,sand trap,stinger,yardstick",,2023-09-06,Don’t hurt yourself,"IPC 2023 - Week 1

1.5mi mosey

PLC

Jackson’s",backblast
old-glory,"red card,rocketman","dash,gas man,napoleon,red card,retina,rocketman,scalp,telecaster",dash,2023-09-06,Red Card's CoQ,"*WARMUP:*
Double applesauce mosey
SSH (IC) x20
Abe Vigoda (IC) x10
Grass grabbers (IC) x10
Little baby arm circles (IC) x10 ; flapjack

*THE THANG:*
2 partner teams alternate w/ sandbag mosey to complete the following exercises:
100 Merkins
200 Little baby crunches
300 Air squats
100 Dips
100 Curls (w/ sandbag or coupon)

*MARY:*
Freddie Mercury (IC) x20
Heels to heaven (IC) x10
Plank jack (IC) x15
Heel taps (IC) x20

*ANNOUNCEMENTS:*
GTE - Volunteer contact Huckleberry.
Sept 23 - Lasagna night at Old Glory. (Rocketman)
Sept 30? - Leadership summit.
*COT:*
Had to be there.",backblast
