ao,q,pax,fngs,date,title,moleskine,bb_type
iron-mountain,chlorine,chlorine,,2023-06-06,,,doubledown
tower,huckleberry,"backseat,doppler,gopher,huckleberry,lilo,tater,wooderson",,2023-06-06,,,backblast
gem,princess,"blade,chubbs,donatello,gas man,princess,rocketman,sheets",,2023-06-06,,,backblast
black-ops,crunch,"crunch,pigeon",,2023-06-06,,,backblast
black-diamond,yardstick,"gopher,rocketman,yardstick",,2023-06-05,,,backblast
bleach,hooch,"canuck,hacksaw,handy,hooch,puff,sheets,strings,timney",,2023-06-05,,,backblast
rise,sushi,"groot,hawkeye,jar jar,kettle,sushi",,2023-06-05,,,backblast
warhorse,doodle,"bandit,big sky,cheapskate,chlorine,doodle,spock,telecaster",,2023-06-05,,,backblast
old-glory,halitosis,"mr clean,blade,halitosis,kremlin,napoleon",,2023-06-05,,,backblast
iron-mountain,big sky,"big sky,cheapskate,escobar,telecaster",,2023-06-03,,,backblast
tower,gopher,"backseat,buff,doppler,family guy,gopher,huckleberry,lilo,norsk,ramsay",,2023-06-03,,,backblast
bellagio,methane,"chubbs,methane,napoleon,shoey,slice,yardstick",,2023-06-03,,,backblast
bleach,old spice,"halitosis,hi-hat,handy,hooch,old spice,pigeon,strings,sushi",,2023-06-03,,,backblast
gem,rocketman,"gas man,kremlin,lawsuit,retina,rocketman,sheets,wooderson",,2023-06-03,,,backblast
ruckership-east,huckleberry,"huckleberry,postal,timney",,2023-06-02,,,backblast
backyard,telecaster,"cortana,doodle,doppler,kremlin,telecaster,yardstick",,2023-06-02,,,backblast
ruckership-west,slice,"epa,escobar,paneer,sheets,slice",,2023-06-02,,,backblast
gem,sheets,"biczar,gas man,hooch,retina,rocketman,sheets,wooderson,kremlin",,2023-06-01,,,backblast
rebel,tenor,"postal,buff,chief,family guy,tenor",,2023-06-01,,,backblast
bellagio,slice,"chubbs,defrost,focker,freighter,methane,ramsay,samwise,sand trap,slice,strings,timney",,2023-06-01,,,backblast
tower,tater,"doppler,huckleberry,lilo,pearl,tater",,2023-06-01,,,backblast
black-diamond,retina,"blade,focker,freighter,paneer,retina,samwise,sand trap",,2023-05-31,,,backblast
bleach,strings,"handy,hooch,pearl,strings",,2023-05-31,,,backblast
rise,hawkeye,"groot,hawkeye,jar jar",,2023-05-31,,,backblast
old-glory,chubbs,"mr. clean,cheeks,chubbs,escobar,kremlin,napoleon",,2023-05-31,,,backblast
backyard,doodle,"spock,canuck,cortana,doodle,doppler,flea fly,foxworthy,gas man,lilo,rocketman,sheets,tater,telecaster,wooderson",,2023-05-31,,,backblast
iron-mountain,big sky,"big sky,cheapskate,chlorine,escobar,telecaster",,2023-05-30,,,backblast
bellagio,strings,"methane,strings",,2023-05-30,,,backblast
rebel,family guy,"bandit,buff,chief,family guy,hipaa,tenor",,2023-05-30,,,backblast
tower,doppler,"doppler,gopher",,2023-05-30,,,backblast
gem,retina,"biczar,chubbs,gas man,retina,rocketman,sheets",,2023-05-30,,,backblast
black-diamond,canuck,"canuck,lawsuit,sand trap,teep",,2023-05-29,,,backblast
backyard,cortana,"link,chunks,cortana,doodle,flea fly,gopher,retina,tater",,2023-05-29,,,backblast
warhorse,cheapskate,"tornado,bandit,big sky,cheapskate,escobar,red card,rocketman,yardstick",,2023-05-29,,,backblast
rise,jar jar,"hawkeye,jar jar,timney",,2023-05-29,,,backblast
bleach,hooch,"handy,hooch,strings,tenor",,2023-05-29,,,backblast
tower,wooderson,"doodle,doppler,metamucil,pearl,tater,wooderson",,2023-05-28,,,backblast
iron-mountain,escobar,"cheapskate,escobar,hightower",,2023-05-28,,,backblast
bellagio,slice,"bumpher,chubbs,gas man,paneer,red elephant,rocketman,slice,stinger,strings",,2023-05-27,,,backblast
tower,tater,"backseat,canuck,doodle,doppler,flea fly,huckleberry,lilo,old spice,tater,wooderson",,2023-05-27,,,backblast
bleach,hooch,"handy,hawkeye,hooch,rainbird",,2023-05-27,,,backblast
backyard,doppler,"biczar,canuck,cheeks,cortana,doodle,doppler,flea fly,spock,old spice,puff,red elephant,retina,sand trap,tater,telecaster",,2023-05-26,,,backblast
ruckership-east,timney,"bareback,escobar,freighter,guac,hawkeye,hooch,paneer,rocketman,samwise,sheets,slice,stinger,strings,sushi,timney,wafer",,2023-05-26,,,backblast
bellagio,stinger,"buoy,freighter,hooch,methane,red elephant,samwise,shoey,slice,stinger,strings",,2023-05-25,,,backblast
tower,huckleberry,"cortana,huckleberry,spock,raw,tater,wooderson",,2023-05-25,,,backblast
rebel,tenor,"bandit,buff,family guy,pigeon,tenor",,2023-05-25,,,backblast
gem,focker,"blade,doodle,escobar,focker,gas man,guac,princess,retina,rocketman,sand trap,sheets,yardstick",,2023-05-25,,,backblast
old-glory,retina,"cartel,big sky,cheeks,napoleon,red card,retina,rocketman,telecaster",,2023-05-24,,,backblast
backyard,puff,"goblue - dr north carolina,charbroil,doodle,doppler,foxworthy,gopher,puff,spock",,2023-05-24,,,backblast
bleach,guac,"handy,guac,hacksaw,hooch,sheets,strings",,2023-05-24,,,backblast
black-diamond,freighter,"blade,canuck,freighter,paneer,samwise,stinger,yardstick",,2023-05-24,,,backblast
rise,timney,"classified,enhance,groot,hawkeye,husker,jar jar,red elephant,sushi,timney",,2023-05-24,,,backblast
tower,lilo,"backseat,doppler,freighter,gopher,huckleberry,lilo,norsk,red elephant,tater,wooderson",,2023-05-23,,,backblast
black-ops,crunch,"chubbs,crunch,napoleon,pigeon",,2023-05-23,,,backblast
rebel,retina,"buff,chief,family guy,hipaa,pearl,retina,tenor",,2023-05-23,,,backblast
bellagio,methane,"buoy,methane,puff,shoey,stinger",,2023-05-23,,,backblast
gem,rocketman,"biczar,gas man,rocketman,sheets",,2023-05-23,,,backblast
iron-mountain,telecaster,"big sky,cheapskate,escobar,hightower,telecaster",,2023-05-23,,,backblast
bleach,gopher,"teep,canuck,epa,gopher,hacksaw,hooch,old spice,pearl,sheets,strings,tenor",,2023-05-22,,,backblast
black-ops,slice,"freighter,slice",,2023-05-22,,,backblast
warhorse,doodle,"big sky,chlorine,doodle,telecaster",,2023-05-22,,,backblast
rise,defrost,"classified,defrost,groot,hawkeye,husker,jar jar,kettle,sushi",,2023-05-22,,,backblast
old-glory,retina,"cheeks,chubbs,halitosis,napoleon,retina,rocketman,yardstick",,2023-05-22,,,backblast
iron-mountain,escobar,"dante the dog,chlorine,escobar,rocketman,telecaster",,2023-05-21,,,backblast
gem,gas man,"sleepy,gas man,kremlin,lawsuit,retina,sand trap,sheets,yardstick",,2023-05-20,,,backblast
tower,tater,"backseat,blade,doodle,doppler,family guy,gopher,huckleberry,lilo,norsk,pearl,strings,tater,wooderson",,2023-05-20,,,backblast
bellagio,samwise,"focker,methane,paneer,samwise,slice,stinger",,2023-05-20,,,backblast
bleach,sushi,"rehband,canuck,classified,hawkeye,mister bean,pigeon,rainbird,sushi",,2023-05-20,,,backblast
ruckership-west,telecaster,"escobar,gas man,telecaster",,2023-05-19,,,backblast
ruckership-east,jar jar,"hawkeye,jar jar,strings,sushi,wafer",,2023-05-19,,,backblast
backyard,cortana,"vin diesel,biczar,canuck,chubbs,cortana,doodle,doppler,flea fly,gopher,hooch,huckleberry,lawsuit,puff,retina,rocketman,sheets,tater,wooderson",,2023-05-19,,,backblast
black-ops,slice,"freighter,slice",,2023-05-19,,,backblast
iron-mountain,escobar,"chlorine,escobar,rocketman",,2023-05-18,,,backblast
bellagio,stinger,"defrost,freighter,paneer,puff,samwise,slice,stinger",,2023-05-18,,,backblast
rebel,tenor,"chief,huckleberry,kremlin,pigeon,tenor",,2023-05-18,,,backblast
gem,sushi,"biczar,gas man,sheets,sushi,yardstick",,2023-05-18,,,backblast
tower,gopher,"doppler,gopher,hooch,huckleberry,lilo,pearl,raw,strings,tater",,2023-05-18,,,backblast
old-glory,napoleon,"mr clean,gas man,kremlin,napoleon,rocketman,scalp,yardstick",,2023-05-17,,,backblast
backyard,flea fly,"trollhunter (dr),charbroil,cortana,doppler,flea fly,foxworthy,guac,sheets,tater",,2023-05-17,,,backblast
black-diamond,sand trap,"canuck,freighter,paneer,samwise,sand trap",,2023-05-17,,,backblast
warhorse,daft,"arson,big sky,daft,gopher,huckleberry,retina,telecaster,wooderson",,2023-05-17,,,backblast
black-ops,slice,"longhorn,slice",,2023-05-17,,,backblast
bleach,hooch,"epa,hooch,pearl,pigeon,stinger,strings",,2023-05-17,,,backblast
rise,wafer,"barker,classified,enhance,husker,jar jar,kettle,sushi,wafer,groot",,2023-05-17,,,backblast
gem,kremlin,"biczar,bruno,gas man,guac,kremlin,retina,sheets,slice,wooderson,yardstick",,2023-05-16,,,backblast
black-ops,crunch,"crunch,pigeon",,2023-05-16,,,backblast
iron-mountain,big sky,"big sky,carnival,chlorine,daft,telecaster",,2023-05-16,,,backblast
rebel,pearl,"backseat,buff,chief,cortana,family guy,lilo,pearl,rocketman,tenor",,2023-05-16,,,backblast
bellagio,flea fly,"blade,flea fly,puff,samwise,stinger,strings",,2023-05-16,,,backblast
tower,doppler,"doppler,gopher,huckleberry",,2023-05-16,,,backblast
black-diamond,gopher,"gopher,yardstick",,2023-05-15,,,backblast
warhorse,telecaster,"troll hunter,big sky,chlorine,daft,escobar,telecaster",,2023-05-15,,,backblast
rise,hawkeye,"barker,classified,hawkeye,husker,jar jar,sushi,wafer",,2023-05-15,,,backblast
bleach,guac,"guac,hooch,puff,sheets,strings",,2023-05-15,,,backblast
old-glory,rocketman,"mr clean,chubbs,kremlin,napoleon,retina,rocketman,biczar",,2023-05-15,,,backblast
gem,retina,"bonnie,lawsuit,napoleon,retina,sheets,gas man",,2023-05-13,,,backblast
tower,puff,"buff,escobar,family guy,backseat,puff,tater",,2023-05-13,,,backblast
bellagio,daft,"daft,sand trap,stinger",,2023-05-13,,,backblast
iron-mountain,hightower,"cheapskate,chlorine,hightower,telecaster",,2023-05-13,,,backblast
bleach,strings,"guac,hacksaw,hooch,pigeon,rainbird,strings",,2023-05-13,,,backblast
ruckership-west,escobar,"shank,chlorine,daft,escobar,gas man,slice,telecaster",,2023-05-12,,,backblast
black-ops,slice,"freighter,napoleon,longhorn,slice",,2023-05-12,,,backblast
ruckership-east,wafer,"barker,classified,hawkeye,jar jar,sushi,timney,wafer",,2023-05-12,,,backblast
backyard,hooch,"biczar,cheeks,chubbs,cortana,doodle,doppler,flea fly,guac,hooch,kremlin,napoleon,retina,rocketman,sheets,strings,tater,wooderson,yardstick",,2023-05-12,,,backblast
iron-mountain,chlorine,"big sky,chlorine,telecaster",,2023-05-11,,,backblast
tower,tater,"doppler,huckleberry,backseat,tater",,2023-05-11,,,backblast
bellagio,freighter,"freighter,methane,stinger",,2023-05-11,,,backblast
rebel,tenor,"bandit,chief,family guy,hipaa,pearl,tenor",,2023-05-11,,,backblast
black-ops,slice,"freighter,slice",,2023-05-11,,,backblast
gem,sheets,"charbroil,chubbs,donatello,doodle,flo,gas man,gekko,guac,rocketman,sheets,slice,strings,wooderson",,2023-05-11,,,backblast
old-glory,slice,"blade,cheeks,napoleon,retina,slice",,2023-05-10,,,backblast
warhorse,rocketman,"big sky,cheapskate,doodle,escobar,gas man,rocketman",,2023-05-10,,,backblast
backyard,strings,"cortana,doppler,pearl,puff,strings",,2023-05-10,,,backblast
black-diamond,freighter,"freighter,paneer,samwise,sand trap,stinger,yardstick",,2023-05-10,,,backblast
bleach,guac,"canuck,guac,hooch,sheets",,2023-05-10,,,backblast
black-ops,slice,"longhorn,slice",,2023-05-10,,,backblast
rise,sushi,"classified,groot,hawkeye,husker,jar jar,enhance,sushi,timney,wafer",,2023-05-10,,,backblast
tower,lilo,"doppler,gopher,huckleberry,backseat,lilo,pearl,tater",,2023-05-09,,,backblast
black-ops,crunch,"crunch,pigeon,slice",,2023-05-09,,,backblast
bellagio,samwise,"freighter,guac,samwise,stinger",,2023-05-09,,,backblast
iron-mountain,escobar,"big sky,chlorine,escobar,resolute",,2023-05-09,,,backblast
rebel,chief,"buff,chief,family guy,tenor",,2023-05-09,,,backblast
gem,retina,"blade,bruno,cheeks,donatello,gas man,hooch,puff,retina,rocketman,sheets,wooderson",,2023-05-09,,,backblast
old-glory,halitosis,"cheeks,gas man,halitosis,napoleon,rocketman,slice",,2023-05-08,,,backblast
warhorse,cheapskate,"bandit,cheapskate,escobar",,2023-05-08,,,backblast
rise,jar jar,"acme,sandollar,barker,classified,groot,hawkeye,husker,jar jar,kettle,wafer",,2023-05-08,,,backblast
bleach,strings,"canuck,epa,flea fly,guac,hooch,puff,stinger,strings,timney,windbag",,2023-05-08,,,backblast
black-diamond,focker,"focker,yardstick",,2023-05-08,,,backblast
bellagio,gopher,"focker,gopher,sand trap",,2023-05-06,,,backblast
iron-mountain,big sky,"big sky,carnival,cheapskate,chlorine",,2023-05-06,,,backblast
tower,huckleberry,"doodle,doppler,family guy,huckleberry,backseat,lilo,norsk,pearl,ramsay",,2023-05-06,,,backblast
gem,princess,"jitters,blade,kremlin,princess,retina,rocketman,yardstick",,2023-05-06,,,backblast
bleach,timney,"rainbird,buff,canuck,classified,guac,hawkeye,hooch,timney",,2023-05-06,,,backblast
ruckership-west,big sky,"arson,big sky,cheeks,gas man,napoleon,princess,slice,telecaster",,2023-05-05,,,backblast
backyard,doppler,"doppler,old spice,sheets,strings",,2023-05-05,,,backblast
black-ops,slice,"arson,slice",,2023-05-05,,,backblast
ruckership-east,sushi,"barker,groot,guac,jar jar,paneer,pearl,samwise,sushi,timney,wafer",,2023-05-05,,,backblast
gem,sand trap,"chubbs,gas man,princess,sand trap,sheets,slice",,2023-05-04,,,backblast
bellagio,puff,"freighter,guac,puff,samwise,stinger",,2023-05-04,,,backblast
rebel,family guy,"chief,family guy,hipaa,kremlin,pearl,tenor",,2023-05-04,,,backblast
iron-mountain,cheapskate,"big sky,carnival,cheapskate,cheeks,chlorine,rocketman,telecaster",,2023-05-04,,,backblast
tower,doppler,"doodle,doppler,gopher,backseat,tater",,2023-05-04,,,backblast
backyard,gopher,"doppler,gopher,pearl,puff,ramsay",,2023-05-03,,,backblast
bleach,windbag,"guac,hooch,sand trap,sheets,strings,windbag",,2023-05-03,,,backblast
rise,timney,"crawdad,barker,classified,hawkeye,husker,jar jar,enhance,kettle,mister bean,sushi,timney,wafer",,2023-05-03,,,backblast
old-glory,napoleon,"cheeks,chubbs,napoleon,rocketman",,2023-05-03,,,backblast
warhorse,gas man,"big sky,doodle,gas man,retina,telecaster",,2023-05-03,,,backblast
black-diamond,blade,"blade,freighter,paneer,stinger,yardstick",,2023-05-03,,,backblast
tower,gopher,"backseat,raw,doppler,gopher,huckleberry,lilo,pearl,ramsay,tater",,2023-05-02,,,backblast
iron-mountain,chlorine,"carnival,cheeks,chlorine,retina,rocketman,telecaster",,2023-05-02,,,backblast
rebel,tenor,"chisel,bandit,buff,chief,face plant,family guy,tenor",,2023-05-02,,,backblast
black-ops,crunch,"crunch,freighter,slice",,2023-05-02,,,backblast
bellagio,stinger,"buoy,guac,samwise,stinger",,2023-05-02,,,backblast
gem,chubbs,"bruno,chubbs,freighter,gas man,kremlin,princess,puff,sheets",,2023-05-02,,,backblast
warhorse,arson,"arson,bandit,blade,cheapskate,chlorine,slice,telecaster",,2023-05-01,,,backblast
old-glory,rocketman,"cheeks,halitosis,kremlin,napoleon,retina,rocketman,stone cold",,2023-05-01,,,backblast
bleach,strings,"guac,hooch,pearl,puff,ramsay,sheets,strings",,2023-05-01,,,backblast
rise,classified,"classified,groot,hawkeye,husker,jar jar,sushi,timney,wafer",,2023-05-01,,,backblast
black-diamond,canuck,"canuck,chubbs,gopher,yardstick",,2023-05-01,,,backblast
black-ops,sushi,"jar jar,sushi",,2023-04-30,,,backblast
rise,"blade,gopher,sushi","enhance,flipper,jaws,amnesia,blade,canuck,cheeks,classified,escobar,gopher,guac,hawkeye,hooch,huckleberry,husker,jar jar,kremlin,napoleon,paneer,princess,red card,retina,rocketman,sheets,slice,stinger,strings,sushi,tater,tenor,timney,wafer",,2023-04-29,,,backblast
black-ops,backslash,"clamps,cowpie,backslash,hacksaw,old spice",,2023-04-29,,,backblast
black-ops,slice,"paneer,slice",,2023-04-28,,,backblast
backyard,old spice,"doppler,face plant,flea fly,gas man,gopher,hooch,huckleberry,old spice,princess,retina,sheets,stinger,strings",,2023-04-28,,,backblast
ruckership-east,wafer,"oyster 2.0,teep,canuck,hawkeye,oyster,sushi,timney,wafer",,2023-04-28,,,backblast
ruckership-west,escobar,"big sky,carnival,cheapskate,escobar,rocketman",,2023-04-28,,,backblast
gem,rocketman,"donatello,gas man,grill,kremlin,rocketman,sheets,yardstick",,2023-04-27,,,backblast
rebel,backslash,"link,backslash,buff,chief,doppler,family guy,huckleberry,lilo,tater,tenor",,2023-04-27,,,backblast
bellagio,methane,"buoy,freighter,hooch,methane,ramsay,samwise,strings",,2023-04-27,,,backblast
iron-mountain,big sky,"big sky,carnival,chlorine,telecaster",,2023-04-27,,,backblast
black-diamond,stinger,"freighter,paneer,samwise,stinger",,2023-04-26,,,backblast
warhorse,telecaster,"cheapskate,escobar,telecaster",,2023-04-26,,,backblast
backyard,retina,"doodle,doppler,foxworthy,gopher,puff,retina,sheets",,2023-04-26,,,backblast
rise,hawkeye,"backslash,barker,classified,defrost,frothy,guac,hawkeye,huckleberry,sushi,timney,wafer",,2023-04-26,,,backblast
old-glory,yardstick,"cauliflower,carnival,chubbs,kremlin,napoleon,rocketman,yardstick",,2023-04-26,,,backblast
bleach,hooch,"hooch,old spice,tenor",,2023-04-26,,,backblast
gem,gas man,"jitters,bruno,chubbs,donatello,doodle,gas man,grill,kremlin,rocketman,sheets,sushi,yardstick",,2023-04-25,,,backblast
rebel,retina,"bandit,buff,canuck,chief,chisel,doppler,face plant,family guy,gopher,huckleberry,metamucil,pearl,retina,tater,tenor",,2023-04-25,,,backblast
bellagio,backslash,"backslash,focker,hooch,methane,puff,samwise,stinger,strings",,2023-04-25,,,backblast
black-ops,slice,"blade,chunks,flea fly,freighter,slice",,2023-04-25,,,backblast
iron-mountain,chlorine,"carnival,cheapskate,chlorine,escobar",,2023-04-25,,,backblast
warhorse,big sky,"bandit,big sky,cheapskate,chlorine,doodle,gopher,telecaster",,2023-04-24,,,backblast
black-diamond,yardstick,"gas man,kremlin,yardstick",,2023-04-24,,,backblast
bleach,strings,"backslash,guac,hooch,old spice,stinger,strings",,2023-04-24,,,backblast
rise,timney,"barker,classified,groot,hawkeye,jar jar,sushi,timney,wafer",,2023-04-24,,,backblast
old-glory,trauma,"flint ferkin (woody),carnival,cheeks,chubbs,halitosis,napoleon,retina,stone cold,trauma",,2023-04-24,,,backblast
iron-mountain,telecaster,"big sky,chlorine,telecaster",,2023-04-22,,,backblast
bleach,guac,"guac,old spice,samwise,strings,timney,wafer",,2023-04-22,,,backblast
gem,retina,"bonnie,jitters,chubbs,lawsuit,napoleon,retina,sheets,trauma,yardstick",,2023-04-22,,,backblast
black-ops,"escobar,sand trap,sushi","arson,escobar,sand trap,sushi",,2023-04-22,,,backblast
backyard,gopher,"canuck,doppler,face plant,flea fly,gas man,gopher,hooch,sheets,strings,tater,telecaster",,2023-04-21,,,backblast
ruckership-west,retina,"big sky,chubbs,epa,kremlin,napoleon,retina",,2023-04-21,,,backblast
ruckership-east,jar jar,"barker,classified,groot,hawkeye,jar jar,sushi,timney,wafer",,2023-04-21,,,backblast
gem,sheets,"chubbs,donatello,doodle,face plant,gas man,hooch,kremlin,metamucil,retina,sand trap,sheets,grill,yardstick",,2023-04-20,,,backblast
bellagio,samwise,"buoy,freighter,methane,puff,samwise,stinger",,2023-04-20,,,backblast
rebel,tenor,"buff,chisel,echo,backslash,doppler,family guy,gopher,huckleberry,lilo,pearl,tenor",,2023-04-20,,,backblast
iron-mountain,escobar,"chlorine,escobar,slice,telecaster",,2023-04-20,,,backblast
rise,sushi,"classified,groot,hawkeye,jar jar,sushi,wafer",,2023-04-19,,,backblast
warhorse,telecaster,"cheapskate,escobar,slice,telecaster",,2023-04-19,,,backblast
old-glory,retina,"halitosis,kremlin,napoleon,retina,rocketman,yardstick",,2023-04-19,,,backblast
bleach,hooch,"epa,hacksaw,hooch,old spice,sand trap,stinger",,2023-04-19,,,backblast
backyard,face plant,"backslash,canuck,doppler,face plant,gopher,guac,puff,sheets,tater,tenor,timney,doodle,wooderson",,2023-04-19,,,backblast
black-diamond,samwise,"freighter,samwise,strings",,2023-04-19,,,backblast
iron-mountain,big sky,"big sky,chlorine,escobar,telecaster",,2023-04-18,,,backblast
rebel,metamucil,"backslash,bandit,chubbs,doppler,face plant,family guy,gopher,metamucil,pearl,rocketman,tater,tenor",,2023-04-18,,,backblast
black-ops,crunch,"crunch,flea fly",,2023-04-18,,,backblast
bellagio,stinger,"focker,freighter,hooch,methane,puff,retina,samwise,slice,stinger,strings",,2023-04-18,,,backblast
gem,yardstick,"speedo,bruno,donatello,gas man,kremlin,princess,sheets,doodle,wooderson,yardstick",,2023-04-18,,,backblast
rise,jar jar,"classified,groot,hawkeye,jar jar,sushi,timney,wafer",,2023-04-17,,,backblast
black-diamond,gas man,"canuck,gas man,gopher,methane",,2023-04-17,,,backblast
warhorse,escobar,"bandit,big sky,cheapskate,chlorine,escobar,telecaster,doodle",,2023-04-17,,,backblast
bleach,strings,"backslash,flea fly,guac,hacksaw,old spice,strings",,2023-04-17,,,backblast
old-glory,chubbs,"carnival,chubbs,gekko,kremlin,napoleon,retina,yardstick",,2023-04-17,,,backblast
black-ops,"lilo,wooderson","lilo,wooderson",,2023-04-16,,,backblast
bleach,windbag,"classified,guac,hacksaw,hawkeye,jar jar,wafer,windbag",,2023-04-15,,,backblast
iron-mountain,cheapskate,"lockout,big sky,cheapskate,escobar",,2023-04-15,,,backblast
gem,hooch,"bonnie,jitters,delivery man,blade,canuck,donatello,gas man,hooch,lawsuit,princess,sheets,trauma,doodle",,2023-04-15,,,backblast
bellagio,"focker,rocketman","neopolitan,focker,methane,rocketman,samwise,sand trap,yardstick",,2023-04-15,,,backblast
ruckership-east,epa,"epa,guac,hawkeye,bareback,wafer",,2023-04-14,,,backblast
backyard,puff,"cheapskate,doppler,face plant,hacksaw,puff,sheets,telecaster,doodle",,2023-04-14,,,backblast
ruckership-west,trauma,"arson,cheeks,gas man,kremlin,napoleon,strings,trauma",,2023-04-14,,,backblast
rebel,hipaa,"chief,doppler,face plant,family guy,hipaa,lilo,tenor,wooderson",,2023-04-13,,,backblast
gem,chubbs,"chubbs,gas man,kremlin,napoleon,sheets,trauma,yardstick",,2023-04-13,,,backblast
iron-mountain,chlorine,"chlorine,freighter,resolute,slice",,2023-04-13,,,backblast
bellagio,gopher,"focker,gopher,hooch,methane,rocketman,sand trap,stinger,samwise",,2023-04-13,,,backblast
old-glory,trauma,"cheeks,chubbs,gas man,halitosis,napoleon,rocketman,scalp,stone cold,trauma",,2023-04-12,,,backblast
warhorse,escobar,"cheapskate,escobar,telecaster",,2023-04-12,,,backblast
backyard,flea fly,"doppler,face plant,flea fly,gopher,sheets,doodle,wooderson",,2023-04-12,,,backblast
rise,wafer,"johnny5,classified,groot,jar jar,wafer",,2023-04-12,,,backblast
bleach,hooch,"backslash,epa,guac,hacksaw,hooch,old spice,sand trap",,2023-04-12,,,backblast
black-diamond,freighter,"blade,freighter,paneer,samwise,shoey,stinger,strings,yardstick",,2023-04-12,,,backblast
bellagio,focker,"canuck,focker,methane,samwise,stinger,strings",,2023-04-11,,,backblast
black-ops,crunch,"chunks,crunch,flea fly",,2023-04-11,,,backblast
iron-mountain,escobar,"big sky,chlorine,duck,escobar,hightower,napoleon,telecaster,trauma",,2023-04-11,,,backblast
rebel,family guy,"backslash,chief,doppler,face plant,family guy,gopher,hipaa,lilo,tenor",,2023-04-11,,,backblast
gem,rocketman,"johnny5,matlock,doodle,bruno,chubbs,freighter,gas man,hooch,huckleberry,kremlin,princess,puff,rocketman,sheets,wooderson,yardstick",,2023-04-11,,,backblast
rise,backslash,"backslash,blade,classified,groot,jar jar,timney,wafer",,2023-04-10,,,backblast
old-glory,yardstick,"package,carnival,cheeks,duck,chubbs,kremlin,napoleon,red card,rocketman,stone cold,trauma,yardstick",,2023-04-10,,,backblast
bleach,hacksaw,"canuck,gopher,guac,hacksaw,hooch,puff,tenor,wooderson",,2023-04-10,,,backblast
warhorse,big sky,"big sky,cheapskate,escobar,telecaster",,2023-04-10,,,backblast
black-diamond,strings,"methane,stinger,strings",,2023-04-10,,,backblast
black-ops,jar jar,jar jar,,2023-04-09,,,backblast
tower,tater,"caribou,fireball,blade,face plant,gopher,hooch,huckleberry,norsk,ramsay,tater",,2023-04-08,,,backblast
bleach,guac,"backslash,canuck,classified,guac,hacksaw,sand trap,strings,wafer",,2023-04-08,,,backblast
gem,chubbs,"chubbs,donatello,gas man,napoleon,retina,scalp,sheets,wooderson",,2023-04-08,,,backblast
bellagio,methane,"chips,focker,methane",,2023-04-08,,,backblast
iron-mountain,hightower,"cheapskate,hightower",,2023-04-08,,,backblast
ruckership-west,telecaster,"cheapskate,escobar,telecaster",,2023-04-07,,,backblast
backyard,blade,"blade,cortana,doppler,face plant,flea fly,foxworthy,gas man,gopher,hacksaw,hooch,mcdonald,puff,ramsay,sheets,tater",,2023-04-07,,,backblast
ruckership-east,timney,"bareback,oyster,backslash,classified,groot,guac,jar jar,move,timney,wafer",,2023-04-07,,,backblast
bellagio,strings,"freighter,gopher,retina,samwise,strings",,2023-04-06,,,backblast
iron-mountain,big sky,"big sky,cheapskate,hightower",,2023-04-06,,,backblast
black-ops,slice,"duck,freighter,napoleon,slice,trauma",,2023-04-06,,,backblast
gem,chubbs,"chubbs,donatello,gas man,hooch,ramsay,sand trap,sheets,slice,wooderson",,2023-04-06,,,backblast
rebel,tenor,"backslash,chief,doppler,family guy,tenor",,2023-04-06,,,backblast
backyard,tater,"the ghost of brad blair,cortana,gopher,mcdonald,ramsay,sheets,tater",,2023-04-05,,,backblast
warhorse,escobar,"big sky,escobar",,2023-04-05,,,backblast
rise,timney,"classified,groot,hawkeye,jar jar,sushi,timney,wafer",,2023-04-05,,,backblast
black-diamond,sand trap,"flea fly,freighter,paneer,samwise,sand trap,slice",,2023-04-05,,,backblast
old-glory,napoleon,"cheeks,chubbs,halitosis,napoleon,stone cold,trauma,wooderson",,2023-04-05,,,backblast
bleach,strings,"backslash,canuck,epa,guac,hacksaw,hooch,int'l,stinger,strings,tenor",,2023-04-05,,,backblast
black-ops,trauma,"crunch,ramsay,trauma",,2023-04-04,,,backblast
gem,gas man,"chubbs,donatello,gas man,hooch,kremlin,sheets",,2023-04-04,,,backblast
bellagio,blade,"blade,defrost,freighter,puff,samwise,stinger,strings",,2023-04-04,,,backblast
iron-mountain,escobar,"big sky,escobar,hightower,mcdonald",,2023-04-04,,,backblast
rebel,backslash,"ahoy,backslash,chief,cortana,doppler,family guy,gopher,metamucil,pearl,tater,tenor,wooderson",,2023-04-04,,,backblast
old-glory,yardstick,"cheeks,napoleon,slice,yardstick",,2023-04-03,,,backblast
rise,sushi,"classified,groot,hawkeye,jar jar,sushi,timney,wafer",,2023-04-03,,,backblast
black-diamond,gopher,"canuck,gopher,pearl,stinger",,2023-04-03,,,backblast
bleach,epa,"backslash,epa,guac,hooch,puff,strings,tenor",,2023-04-03,,,backblast
warhorse,mcdonald,"big sky,blade,chubbs,griz,mcdonald,ramsay,telecaster",,2023-04-03,,,backblast
black-ops,sushi,"backslash,classified,jar jar,ramsay,sushi",,2023-04-02,,,backblast
iron-mountain,escobar,"blade,chlorine,escobar,hightower,mcdonald,napoleon",,2023-04-01,,,backblast
bellagio,hooch,"hooch,kremlin,methane,rocketman,yardstick",,2023-04-01,,,backblast
gem,gopher,"crunch,gas man,gopher,sheets,wooderson",,2023-04-01,,,backblast
